Composition = 24% Fe, 76% SiO2
log temp, log pressure (dyne/cm^2), logdensity (g/cc)
1.54,5.8,0.5440488774525863
1.54,6.0,0.5452912349329945
1.54,6.2,0.5465335921300317
1.54,6.4,0.5477759490436778
1.54,6.6,0.5490183056739117
1.54,6.8,0.5502606620207134
1.54,7.0,0.5515030180840619
1.54,7.2,0.5527453738639369
1.54,7.4,0.5539877293603179
1.54,7.6,0.5552300845731843
1.54,7.8,0.5564724395025153
1.54,8.0,0.5577147941482905
1.54,8.2,0.5589571485104896
1.54,8.4,0.5601995025890917
1.54,8.6,0.5614418563840763
1.54,8.8,0.562684209895423
1.54,9.0,0.563926563123111
1.54,9.2,0.5651689160671198
1.54,9.4,0.566411268727429
1.54,9.6,0.5676536211040181
1.54,9.8,0.5688959731968661
1.54,10.0,0.5701383250059529
1.54,10.2,0.5713806765312575
1.54,10.4,0.5726230277727596
1.54,10.6,0.5738653787304386
1.54,10.8,0.575107729404274
1.54,11.0,0.576350079794245
1.54,11.2,0.578957766151078
1.54,11.4,0.6095062506438009
1.54,11.6,0.6398404887221276
1.54,11.8,0.6715550201801477
1.54,12.0,0.7175719201347621
1.54,12.2,0.7635448934354041
1.54,12.4,0.8176753252009014
1.54,12.6,0.8744431009023601
1.54,12.8,0.936068067085452
1.54,13.0,1.0017542018475734
1.54,13.2,1.0702080967837149
1.54,13.4,1.1425491976489515
1.54,13.6,1.2183247055019082
1.54,13.8,1.2967267087782268
1.54,14.0,1.3779266526954244
1.54,14.2,1.4617664529744312
1.54,14.4,1.5480665111069736
1.54,14.6,1.6368784054994905
1.54,14.8,1.7279178724782955
1.54,15.0,1.8210627773481398
1.62,-6.0,0.48265293976993173
1.62,-5.8,0.48265293976993173
1.62,-5.6,0.48265293976993173
1.62,-5.4,0.48265293976993173
1.62,-5.2,0.48265293976993173
1.62,-5.0,0.48265293976993173
1.62,-4.8,0.48265293976993173
1.62,-4.6,0.48265293976993173
1.62,-4.4,0.48265293976993173
1.62,-4.2,0.48265293976993173
1.62,-4.0,0.48265293976993173
1.62,-3.8,0.4839021351770337
1.62,-3.6,0.48515133029952584
1.62,-3.4,0.48640052513738763
1.62,-3.2,0.487649719690598
1.62,-3.0,0.48889891395913676
1.62,-2.8,0.4901481079429827
1.62,-2.6,0.4913973016421149
1.62,-2.4,0.4926464950565132
1.62,-2.2,0.4938956881861567
1.62,-2.0,0.4951448810310242
1.62,-1.8,0.49639407359109533
1.62,-1.6,0.49764326586634944
1.62,-1.4,0.49889245785676556
1.62,-1.2,0.5001416495623231
1.62,-1.0,0.5013908409830011
1.62,-0.8,0.502640032118779
1.62,-0.6,0.5038892229696359
1.62,-0.4,0.5051384135355512
1.62,-0.2,0.5063876038165039
1.62,0.0,0.5076367938124736
1.62,0.2,0.5088859835234393
1.62,0.4,0.5101351729493804
1.62,0.6,0.5113843620902758
1.62,0.8,0.5126335509461049
1.62,1.0,0.5138827395168472
1.62,1.2,0.5151319278024817
1.62,1.4,0.5163811158029877
1.62,1.6,0.5176303035183444
1.62,1.8,0.518879490948531
1.62,2.0,0.5201286780935268
1.62,2.2,0.521377864953311
1.62,2.4,0.5226270515278628
1.62,2.6,0.5238762378171614
1.62,2.8,0.5251254238211862
1.62,3.0,0.5263746095399163
1.62,3.2,0.5276237949733311
1.62,3.4,0.5288729801214094
1.62,3.6,0.5301221649841306
1.62,3.8,0.5313713495614742
1.62,4.0,0.5326205338534192
1.62,4.2,0.5338697178599449
1.62,4.4,0.5351189015810304
1.62,4.6,0.5363680850166549
1.62,4.8,0.5376172681667978
1.62,5.0,0.538866451031438
1.62,5.2,0.5401156336105553
1.62,5.4,0.5413648159041282
1.62,5.6,0.5426139979121365
1.62,5.8,0.543863179634559
1.62,6.0,0.545112361071375
1.62,6.2,0.5463615422225638
1.62,6.4,0.5476107230881048
1.62,6.6,0.5488599036679769
1.62,6.8,0.5501090839621592
1.62,7.0,0.5513582639706311
