Composition = 0
log temp (K), log pressure (dyne/cm^2), logdensity (g/cc)
1.86,5.4,-4.0853
1.86,5.6,-3.9017
1.86,5.8,-3.7394
1.94,-6.0,-15.5588
1.94,-5.8,-15.3588
1.94,-5.6,-15.1588
1.94,-5.4,-14.9588
1.94,-5.2,-14.7588
1.94,-5.0,-14.5588
1.94,-4.8,-14.3588
1.94,-4.6,-14.1588
1.94,-4.4,-13.9588
1.94,-4.2,-13.7588
1.94,-4.0,-13.5588
1.94,-3.8,-13.3588
1.94,-3.6,-13.1588
1.94,-3.4,-12.9588
1.94,-3.2,-12.7588
1.94,-3.0,-12.5588
1.94,-2.8,-12.3588
1.94,-2.6,-12.1588
1.94,-2.4,-11.9588
1.94,-2.2,-11.7588
1.94,-2.0,-11.5588
1.94,-1.8,-11.3588
1.94,-1.6,-11.1588
1.94,-1.4,-10.9588
1.94,-1.2,-10.7588
1.94,-1.0,-10.5588
1.94,-0.8,-10.3588
1.94,-0.6,-10.1588
1.94,-0.4,-9.9588
1.94,-0.2,-9.7588
1.94,0.0,-9.5588
1.94,0.2,-9.3588
1.94,0.4,-9.1588
1.94,0.6,-8.9588
1.94,0.8,-8.7588
1.94,1.0,-8.5588
1.94,1.2,-8.3588
1.94,1.4,-8.1588
1.94,1.6,-7.9588
1.94,1.8,-7.7588
1.94,2.0,-7.5588
1.94,2.2,-7.3588
1.94,2.4,-7.1588
1.94,2.6,-6.9588
1.94,2.8,-6.7588
1.94,3.0,-6.5588
1.94,3.2,-6.3588
1.94,3.4,-6.1588
1.94,3.6,-5.9588
1.94,3.8,-5.7588
1.94,4.0,-5.5588
1.94,4.2,-5.3588
1.94,4.4,-5.1588
1.94,4.6,-4.9588
1.94,4.8,-4.7588
1.94,5.0,-4.5589
1.94,5.2,-4.3594
1.94,5.4,-4.1618
1.94,5.6,-3.9709
1.94,5.8,-3.7956
2.02,-6.0,-15.6388
2.02,-5.8,-15.4388
2.02,-5.6,-15.2388
2.02,-5.4,-15.0388
2.02,-5.2,-14.8388
2.02,-5.0,-14.6388
2.02,-4.8,-14.4388
2.02,-4.6,-14.2388
2.02,-4.4,-14.0388
2.02,-4.2,-13.8388
2.02,-4.0,-13.6388
2.02,-3.8,-13.4388
2.02,-3.6,-13.2388
2.02,-3.4,-13.0388
2.02,-3.2,-12.8388
2.02,-3.0,-12.6388
2.02,-2.8,-12.4388
2.02,-2.6,-12.2388
2.02,-2.4,-12.0388
2.02,-2.2,-11.8388
2.02,-2.0,-11.6388
2.02,-1.8,-11.4388
2.02,-1.6,-11.2388
2.02,-1.4,-11.0388
2.02,-1.2,-10.8388
2.02,-1.0,-10.6388
2.02,-0.8,-10.4388
2.02,-0.6,-10.2388
2.02,-0.4,-10.0388
2.02,-0.2,-9.8388
2.02,0.0,-9.6388
2.02,0.2,-9.4388
2.02,0.4,-9.2388
2.02,0.6,-9.0388
2.02,0.8,-8.8388
2.02,1.0,-8.6388
2.02,1.2,-8.4388
2.02,1.4,-8.2388
2.02,1.6,-8.0388
2.02,1.8,-7.8388
2.02,2.0,-7.6388
2.02,2.2,-7.4388
2.02,2.4,-7.2388
2.02,2.6,-7.0388
2.02,2.8,-6.8388
2.02,3.0,-6.6388
2.02,3.2,-6.4388
2.02,3.4,-6.2388
2.02,3.6,-6.0388
2.02,3.8,-5.8388
2.02,4.0,-5.6388
2.02,4.2,-5.4388
2.02,4.4,-5.2388
2.02,4.6,-5.0388
2.02,4.8,-4.8388
2.02,5.0,-4.6388
2.02,5.2,-4.4391
2.02,5.4,-4.2402
2.02,5.6,-4.0448
2.02,5.8,-3.8597
2.1,-6.0,-15.7154
2.1,-5.8,-15.5154
2.1,-5.6,-15.3154
2.1,-5.4,-15.1154
2.1,-5.2,-14.9154
2.1,-5.0,-14.7154
2.1,-4.8,-14.5154
2.1,-4.6,-14.3154
2.1,-4.4,-14.1154
2.1,-4.2,-13.9154
2.1,-4.0,-13.7154
2.1,-3.8,-13.5154
2.1,-3.6,-13.3154
2.1,-3.4,-13.1154
2.1,-3.2,-12.9154
2.1,-3.0,-12.7154
2.1,-2.8,-12.5154
2.1,-2.6,-12.3154
2.1,-2.4,-12.1154
2.1,-2.2,-11.9154
2.1,-2.0,-11.7154
2.1,-1.8,-11.5154
2.1,-1.6,-11.3154
2.1,-1.4,-11.1154
2.1,-1.2,-10.9154
2.1,-1.0,-10.7154
2.1,-0.8,-10.5154
2.1,-0.6,-10.3154
2.1,-0.4,-10.1154
2.1,-0.2,-9.9154
2.1,0.0,-9.7154
2.1,0.2,-9.5154
2.1,0.4,-9.3154
2.1,0.6,-9.1154
2.1,0.8,-8.9154
2.1,1.0,-8.7154
2.1,1.2,-8.5154
2.1,1.4,-8.3154
2.1,1.6,-8.1154
2.1,1.8,-7.9154
2.1,2.0,-7.7154
2.1,2.2,-7.5154
2.1,2.4,-7.3154
2.1,2.6,-7.1154
2.1,2.8,-6.9154
2.1,3.0,-6.7154
2.1,3.2,-6.5154
2.1,3.4,-6.3154
2.1,3.6,-6.1154
2.1,3.8,-5.9154
2.1,4.0,-5.7154
2.1,4.2,-5.5154
2.1,4.4,-5.3154
2.1,4.6,-5.1154
2.1,4.8,-4.9154
2.1,5.0,-4.7154
2.1,5.2,-4.5154
2.1,5.4,-4.3154
2.1,5.6,-4.1155
2.1,5.8,-3.9155
2.1,6.0,-3.7156
2.1,6.2,-3.5157
2.1,6.4,-3.3158
2.1,6.6,-3.1161
2.1,6.8,-2.9165
2.1,7.0,-2.7171
2.1,7.2,-2.5182
2.1,7.4,-2.32
2.1,7.6,-2.1232
2.1,7.8,-1.9291
2.1,8.0,-1.7407
2.1,8.2,-1.5641
2.1,8.4,-1.4086
2.1,8.6,-1.2811
2.1,8.8,-1.1795
2.1,9.0,-1.0962
2.1,9.2,-1.0261
2.1,9.4,-0.9652
2.1,9.6,-0.9101
2.1,9.8,-0.8577999999999999
2.18,-6.0,-15.7954
2.18,-5.8,-15.5954
2.18,-5.6,-15.3954
2.18,-5.4,-15.1954
2.18,-5.2,-14.9954
2.18,-5.0,-14.7954
2.18,-4.8,-14.5954
2.18,-4.6,-14.3954
2.18,-4.4,-14.1954
2.18,-4.2,-13.9954
2.18,-4.0,-13.7954
2.18,-3.8,-13.5954
2.18,-3.6,-13.3954
2.18,-3.4,-13.1954
2.18,-3.2,-12.9954
2.18,-3.0,-12.7954
2.18,-2.8,-12.5954
2.18,-2.6,-12.3954
2.18,-2.4,-12.1954
2.18,-2.2,-11.9954
2.18,-2.0,-11.7954
2.18,-1.8,-11.5954
2.18,-1.6,-11.3954
2.18,-1.4,-11.1954
2.18,-1.2,-10.9954
2.18,-1.0,-10.7954
2.18,-0.8,-10.5954
2.18,-0.6,-10.3954
2.18,-0.4,-10.1954
2.18,-0.2,-9.9954
2.18,0.0,-9.7954
2.18,0.2,-9.5954
2.18,0.4,-9.3954
2.18,0.6,-9.1954
2.18,0.8,-8.9954
2.18,1.0,-8.7954
2.18,1.2,-8.5954
2.18,1.4,-8.3954
2.18,1.6,-8.1954
2.18,1.8,-7.9954
2.18,2.0,-7.7954
2.18,2.2,-7.5954
2.18,2.4,-7.3954
2.18,2.6,-7.1954
2.18,2.8,-6.9954
2.18,3.0,-6.7954
2.18,3.2,-6.5954
2.18,3.4,-6.3954
2.18,3.6,-6.1954
2.18,3.8,-5.9954
2.18,4.0,-5.7954
2.18,4.2,-5.5954
2.18,4.4,-5.3954
2.18,4.6,-5.1954
2.18,4.8,-4.9954
2.18,5.0,-4.7954
2.18,5.2,-4.5954
2.18,5.4,-4.3955
2.18,5.6,-4.1955
2.18,5.8,-3.9956
2.18,6.0,-3.7956
2.18,6.2,-3.5958
2.18,6.4,-3.396
2.18,6.6,-3.1964
2.18,6.8,-2.9969
2.18,7.0,-2.7978
2.18,7.2,-2.5993
2.18,7.4,-2.4017
2.18,7.6,-2.2056
2.18,7.8,-2.0123
2.18,8.0,-1.824
2.18,8.2,-1.6446
