Composition = 0
log(temp), log pressure (dyne/cm^2), log density (g/cc)
1.46,3.4,0.4517300718984021
1.46,3.6,0.45296923754563556
1.46,3.8,0.45420840319286915
1.46,4.0,0.4554475688401026
1.46,4.2,0.4566867344873361
1.46,4.4,0.4579259001345696
1.46,4.6,0.45916506578180305
1.46,4.8,0.46040423142903664
1.46,5.0,0.46164339707627
1.46,5.2,0.4628825627235036
1.46,5.4,0.46412172837073706
1.46,5.6,0.46536089401797054
1.46,5.8,0.466600059665204
1.46,6.0,0.4678392253124375
1.46,6.2,0.46907839095967097
1.46,6.4,0.4703175566069045
1.46,6.6,0.471556722254138
1.46,6.8,0.4727958879013716
1.46,7.0,0.474035053548605
1.46,7.2,0.47527421919583845
1.46,7.4,0.47651338484307204
1.46,7.6,0.4777525504903054
1.46,7.8,0.478991716137539
1.46,8.0,0.4802308817847724
1.46,8.2,0.4814700474320059
1.46,8.4,0.4827092130792394
1.46,8.6,0.48394837872647284
1.46,8.8,0.48518754437370637
1.46,9.0,0.48642671002093985
1.46,9.2,0.4876658756681733
1.46,9.4,0.4889050413154069
1.46,9.6,0.4901442069626404
1.46,9.8,0.49138337260987386
1.46,10.0,0.49262253825710733
1.46,10.2,0.49386170390434087
1.46,10.4,0.4951008695515744
1.46,10.6,0.49634003519880776
1.46,10.8,0.4975792008460413
1.46,11.0,0.49881836649327477
1.46,11.2,0.5015611589258051
1.46,11.4,0.5351864403998466
1.46,11.6,0.5688117218738878
1.46,11.8,0.6034471228467136
1.46,12.0,0.651009829764916
1.46,12.2,0.6985725366831183
1.46,12.4,0.7550471923173345
1.46,12.6,0.8132386299479986
1.46,12.8,0.8769209121808614
1.46,13.0,0.9441819732094101
1.46,13.2,1.014399324413117
1.46,13.4,1.0884356605077645
1.46,13.6,1.1659417571280182
1.46,13.8,1.2461371917321116
1.46,14.0,1.3290192670219199
1.46,14.2,1.4145150749229667
1.46,14.4,1.5025158425450387
1.46,14.6,1.5930768972341902
1.46,14.8,1.6858453810349068
1.46,15.0,1.780640771577174
1.46,15.2,1.877347863990786
1.46,15.4,1.9758489502917151
1.54,-4.8,0.4003880024971451
1.54,-4.6,0.40163387535824013
1.54,-4.4,0.4028797482193351
1.54,-4.2,0.40412562108043
1.54,-4.0,0.4053714939415249
1.54,-3.8,0.40661736680262
1.54,-3.6,0.40786323966371485
1.54,-3.4,0.40910911252480986
1.54,-3.2,0.4103549853859047
1.54,-3.0,0.4116008582469997
1.54,-2.8,0.4128467311080948
1.54,-2.6,0.4140926039691896
1.54,-2.4,0.4153384768302847
1.54,-2.2,0.41658434969137953
1.54,-2.0,0.4178302225524745
1.54,-1.8,0.4190760954135694
1.54,-1.6,0.4203219682746644
1.54,-1.4,0.4215678411357594
1.54,-1.2,0.4228137139968543
1.54,-1.0,0.4240595868579493
1.54,-0.8,0.42530545971904427
1.54,-0.6,0.42655133258013916
1.54,-0.4,0.4277972054412341
1.54,-0.2,0.4290430783023291
1.54,0.0,0.430288951163424
1.54,0.2,0.43153482402451904
1.54,0.4,0.43278069688561394
1.54,0.6,0.43402656974670895
1.54,0.8,0.43527244260780384
1.54,1.0,0.43651831546889885
1.54,1.2,0.43776418832999375
1.54,1.4,0.43901006119108876
1.54,1.6,0.44025593405218366
1.54,1.8,0.44150180691327867
1.54,2.0,0.44274767977437357
1.54,2.2,0.4439935526354686
1.54,2.4,0.4452394254965636
1.54,2.6,0.4464852983576585
1.54,2.8,0.4477311712187534
1.54,3.0,0.4489770440798484
1.54,3.2,0.45022291694094335
1.54,3.4,0.4514687898020383
1.54,3.6,0.4527146626631332
1.54,3.8,0.4539605355242282
1.54,4.0,0.4552064083853231
1.54,4.2,0.4564522812464181
1.54,4.4,0.457698154107513
1.54,4.6,0.45894402696860803
1.54,4.8,0.46018989982970304
1.54,5.0,0.46143577269079794
1.54,5.2,0.46268164555189284
1.54,5.4,0.46392751841298785
1.54,5.6,0.46517339127408275
